order_id,order_size,product_type,line_id,treatment,num_operations,operators,shifts,efficiency,wip,setup_time,leadtime,throughput,defect_rate
1,112,C,7,0,4,3,1,0.5716613160002908,25,0.0,0.6044814338938241,41.3577631970599,0.03229539308616811
2,120,J,3,0,5,3,1,0.5293677678750648,34,0.0,0.9735775049536838,34.92274608544647,0.047650489964573
3,159,A,3,0,5,2,1,0.4273598772539812,49,0.10582068002524365,1.4257609981376758,34.36761144680184,0.03728880519450722
4,261,I,7,0,4,3,1,0.5893577829791391,45,0.15556626083104882,0.9439827595057246,47.67036214047202,0.07387279448564635
5,49,D,6,0,7,5,3,0.5187671190460257,76,0.0,0.4443772378760017,171.0258616378702,0.020429560192651453
6,103,J,5,0,5,2,1,0.40886517230805686,60,0.0,1.5304462479034857,39.20425175480176,0.06775496919186715
7,188,C,3,0,4,4,1,0.45371760994284227,49,0.0904165152430942,1.1619265280537459,42.17134114501727,0.04628682046672366
8,272,G,7,0,3,4,1,0.5938252136642899,28,0.10722791211016829,0.5149737282532081,54.37170570812623,0.08076073132931938
9,137,I,7,0,4,2,1,0.5140818771105973,15,0.09560656224324976,0.3037657087973545,49.38016229477261,0.05714225143023493
10,158,C,4,0,4,6,3,0.5664613918164263,73,0.0,0.3394287004782926,215.0672582994158,0.07743724267099553
11,162,J,9,0,5,3,1,0.6,18,0.0,0.350715185518058,51.32369724285348,0.056910358877775326
12,85,J,5,0,5,4,1,0.5710190080631513,56,0.0,0.8654303385056538,64.7076922409442,0.05515100781445529
13,142,G,4,0,3,4,2,0.4809260918208006,68,0.10603094684667226,0.39310686907632,172.98095085384554,0.049305764605895135
14,82,G,6,0,3,8,3,0.6,94,0.07196297874415439,0.41573014095156247,226.10821477808636,0.06173714187600541
15,443,A,1,1,5,3,1,0.8673693762564215,32,0.0,0.4701191597576048,68.06784904597234,0.035959881647284385
16,194,I,7,0,4,2,1,0.5115607651492939,22,0.0,0.41302247811856174,53.265866061858034,0.05454919869208259
17,285,B,1,1,6,5,2,0.8,44,0.10943414583053958,0.340831626607793,129.096000972446,0.031003149786191377
18,252,J,1,1,5,4,2,0.8447118756922745,35,0.07812119181863053,0.16488765801422123,212.26573548022208,0.0
19,99,G,9,0,3,3,2,0.6,54,0.10825561853872998,0.412349427708411,130.95689328368752,0.0664412031998898
20,383,J,3,0,5,2,1,0.5188985611417058,42,0.11654366498072048,1.1259215936620306,37.30277511011766,0.05026003783755814
21,306,G,1,1,3,3,1,0.9389728410833129,31,0.09513731079185969,0.28042253564208347,110.54746341630248,0.039581127409122126
22,191,J,5,0,5,4,1,0.5638705499753273,52,0.0,0.9702079820892253,53.596755499809746,0.04049485303199049
23,140,G,7,0,3,1,1,0.5040070589966187,52,0.10461907445890266,1.093684272012446,47.54571436262571,0.03382126217219278
24,77,J,6,0,5,6,3,0.5514037172881318,90,0.07244661264085818,0.34514235909191376,260.7619656908945,0.031243499201697545
25,68,C,7,0,4,2,1,0.5235460745151839,28,0.10136702502207659,0.7455086988370265,37.55824719909941,0.04181182338856885
26,81,G,7,0,3,4,1,0.5302170857133653,35,0.08213759452741554,0.7901485314582452,44.29546927766397,0.04330365505210533
27,113,E,1,1,5,4,1,0.8849346020925433,36,0.1428788817865065,0.37347384579440585,96.39229200488029,0.04387486631245216
28,77,J,4,0,5,4,2,0.5780860536229665,66,0.10635534064874237,0.5342091073908147,123.5471261850202,0.017755453856509534
29,79,I,9,0,4,4,2,0.5996419892730037,63,0.08538517193540693,0.532587323109997,118.29046104987445,0.0244016053347374
30,125,E,5,0,5,3,2,0.5652226772055614,54,0.03517465319861855,0.5638690118542631,95.76692257377813,0.029512247173314205
31,426,B,1,1,6,3,2,0.8229607417266678,37,0.10117017804613689,0.2583417211822639,143.22115619062535,0.0678719569983045
32,390,J,1,1,5,4,2,0.8658182226651063,38,0.10227034690502497,0.193715600325895,196.16386050514868,0.04426982944329465
33,88,C,2,1,4,5,2,0.8737563858214539,53,0.0,0.20734773549062732,255.6092540610155,0.02563435241756641
34,96,C,2,1,4,3,2,0.8,42,0.0,0.1642047484020609,255.77823058540048,0.052946885324398826
35,108,I,3,0,4,2,1,0.48792553670766853,34,0.10101487917710533,0.6642081149201965,51.188775379664015,0.05989199783763429
36,215,A,5,0,5,4,1,0.5149330544025323,39,0.10360985010999096,0.6861431778265207,56.839448762777714,0.07142083048235018
37,263,C,1,1,4,4,2,0.9431476677048292,38,0.10648332704976884,0.17240971626426294,220.40521162829984,0.03317799723885242
38,386,E,4,0,5,7,3,0.4066036308518425,72,0.13627333151757814,0.5276217344156937,136.46139895987275,0.0580916579023505
39,201,I,9,0,4,5,1,0.5996419892730037,31,0.0,0.4787899173351467,64.74655976997194,0.018366921487709097
40,154,A,8,0,5,4,2,0.5231764392094782,78,0.0,0.5348151058286549,145.84479598635306,0.0309121974285401
41,173,E,3,0,5,4,1,0.37660866280761374,35,0.12887494419371523,1.4973974808787616,23.37388732580205,0.011701852607809558
42,280,I,4,0,4,6,2,0.3646334936561599,74,0.1013930532903776,0.9583748502034524,77.21404624118696,0.06967008612716931
43,226,A,5,0,5,2,3,0.5171741649886832,73,0.0,0.4696885493208472,155.4221411306607,0.07400823096826797
44,367,C,7,0,4,2,1,0.4470221942783522,39,0.07918299693440209,1.3057770301414517,29.867273737979005,0.022950988901800064
45,112,A,5,0,5,3,1,0.573976115080983,48,0.0,0.9453996471187891,50.77217888359209,0.04192890086306179
46,215,C,3,0,4,4,1,0.501963903556166,35,0.1068123050257672,0.673112621564843,51.9972421830874,0.04972444089465616
47,109,C,5,0,4,5,2,0.526592382529056,45,0.09782742671822289,0.5957084030220854,75.54031430765576,0.04889030083404653
48,176,E,6,0,5,8,3,0.5065451752035323,86,0.07864759141234812,0.6047036109796489,142.21843302816708,0.047152410299574135
49,95,A,3,0,5,2,1,0.5717744401277335,36,0.10484667372166226,0.8047375767823477,44.7350801536346,0.09094797842260477
50,114,A,6,0,5,7,3,0.597620308154274,89,0.11290751899170295,0.4150680741711497,214.42265868731118,0.07737263115064698
51,164,B,2,1,6,5,1,0.8941961842808945,47,0.10400268838346846,0.3429717391932108,137.03753000337696,0.004607878406174261
52,130,C,8,0,4,5,2,0.5325110339680786,63,0.10256082137116922,0.5129904081927901,122.80931376854046,0.0403732330144055
53,260,C,2,1,4,3,1,0.9169184981733484,55,0.08183891912859124,0.5106807665168066,107.69937621723598,0.04285446294459484
54,215,C,4,0,4,5,3,0.47347339160637053,75,0.08993525028668505,0.48088328695204063,155.96299982760658,0.07090625586015221
55,140,B,10,0,6,3,1,0.381378742365688,45,0.0,0.9897939244575014,45.46400911145637,0.052450109966790386
56,398,B,1,1,6,4,2,0.8,43,0.0843931329188457,0.30279649787780855,142.00956847708443,0.059930212134033115
57,168,H,10,0,6,5,2,0.4346424688233357,46,0.09546501145403549,0.5533177731876857,83.1348679349159,0.03457826918991121
58,197,C,7,0,4,1,1,0.4430581224828881,48,0.0,1.9700002660995477,24.365478942313235,0.023846858636324856
59,154,B,2,1,6,4,3,0.8916055987280008,53,0.11422908530389654,0.1708976162329762,310.1272046284586,0.03094870874014232
60,147,G,2,1,3,3,1,0.8741167601088318,45,0.08815212151522261,0.45068295679720405,99.84846180959282,0.022904129224482574
61,42,D,8,0,7,5,2,0.511369861241081,64,0.11132680261038046,0.4927127755979495,129.89312063672486,0.06663636352210525
62,276,E,8,0,5,4,1,0.38341893012367123,37,0.09082761446114003,0.7295445482673906,50.716573906106234,0.04386567201356366
63,133,H,10,0,6,5,1,0.35478834449863467,55,0.0,1.8766913680391504,29.306896667546575,0.03279173269432095
64,122,G,7,0,3,2,1,0.5938252136642899,27,0.14867696156804833,0.4746224109036195,56.8873263877184,0.014595136233162158
65,88,G,1,1,3,4,1,0.8681804679430429,45,0.10508841686602427,0.4649642076353879,96.78164310507047,0.03972643726905283
66,120,I,3,0,4,2,1,0.5817656770064501,48,0.06585445688744804,0.7580736826901151,63.318383286524686,0.03998427235164813
67,385,C,8,0,4,5,3,0.5659258635460533,52,0.06773178688898417,0.34035836177819795,152.7801453982992,0.03505784222119475
